year,data_status,source_lineage,btu,energy_tj,million_us_gallons,reference_co2_tonnes,value_status,scenario_context,scenario_id,blend_share_applied,scenario_co2_tonnes,avoided_co2_tonnes
2005,recovered_notebook_output,article_notebook_recovered,34573133325288.6,36476.59175364569,301.1280033786718,2527827.808527646,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,2355271.461843941,172556.34668370523
2006,recovered_notebook_output,article_notebook_recovered,36109728104389.1,38097.78529490435,314.51156666404444,2640176.5209368714,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,2459950.948009767,180225.5729271043
2007,recovered_notebook_output,article_notebook_recovered,37930692876306.2,40019.005103304116,330.37195978581013,2773317.0536589753,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,2584002.948734341,189314.1049246341
2008,recovered_notebook_output,article_notebook_recovered,37064845780359.3,39105.48792964275,322.83053145241104,2710010.3135242425,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,2525017.6974926624,184992.61603158014
2009,recovered_notebook_output,article_notebook_recovered,41080028245631.4,43341.73028072288,357.802307588306,3003581.9084540955,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,2798549.3032506616,205032.6052034339
2010,recovered_notebook_output,article_notebook_recovered,40284571938600.0,42502.479331251554,350.87397490704075,2945421.8176557324,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,2744359.377175189,201062.4404805433
2011,recovered_notebook_output,article_notebook_recovered,39214240810800.0,41373.220052879406,341.5515142426872,2867164.1496645426,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,2671443.7887524697,195720.36091207294
2012,recovered_notebook_output,article_notebook_recovered,39683190927600.0,41867.988687309946,345.63601566833285,2901451.616030579,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,2703390.700151429,198060.91587914992
2013,recovered_notebook_output,article_notebook_recovered,41962692915000.0,44272.99093612823,365.4902150463623,3068118.2718736865,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,2858680.2403740594,209438.03149962705
2014,recovered_notebook_output,article_notebook_recovered,46113906973200.0,48652.75423551649,401.646810665912,3371635.8685212927,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,3141478.906936695,230156.96158459783
2015,recovered_notebook_output,article_notebook_recovered,55731307018200.0,58799.64985739402,485.41325572591086,4074815.735117405,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,3796657.818550025,278157.9165673801
2016,recovered_notebook_output,article_notebook_recovered,60922907463000.0,64277.07905628293,530.6314967679787,4454401.578600407,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,4150332.10817508,304069.47042532684
2017,recovered_notebook_output,article_notebook_recovered,63906221365800.0,67424.64228931548,556.6158167470096,4672527.710649563,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,4353568.361912243,318959.34873731993
2018,recovered_notebook_output,article_notebook_recovered,66943789393800.0,70629.44666266505,583.0726838985174,4894620.653722688,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,4560500.641449803,334120.01227288507
2019,recovered_notebook_output,article_notebook_recovered,63906222151125.7,67424.64311787808,556.6158235871059,4672527.768068951,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,4353568.415412028,318959.3526569223
2020,recovered_notebook_output,article_notebook_recovered,68729703683738.1,72513.68624974998,598.627791365191,5025198.457107673,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,4682164.851656455,343033.6054512188
2021,recovered_notebook_output,article_notebook_recovered,80349320784116.7,84773.03298920703,699.8333160291165,5874771.186152047,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,5473743.453936556,401027.7322154902
2022,recovered_notebook_output,article_notebook_recovered,79020967608000.0,83371.54600062604,688.2635130858248,5777648.137843384,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,5383250.286958572,394397.85088481195
2023,recovered_notebook_output,article_notebook_recovered,84467125187090.3,89117.54723139074,735.6989174053259,6175846.023135378,recovered_from_embedded_notebook_plotly_output,historical_counterfactual_1986_2023,E10,0.1,5754266.110200547,421579.91293483134
2024,projected_log_linear_2014_2023,article_notebook_recovered,90483237886036.36,95464.88303108996,788.0985650765303,6615716.394054534,recalculated_and_checked_against_embedded_notebook_plotly_output,prospective_policy_2024_2030,E0,0.0,6615716.394054534,0.0
2025,projected_log_linear_2014_2023,article_notebook_recovered,95815083656857.92,101090.27890266989,834.5383267314602,7005556.327955023,recalculated_and_checked_against_embedded_notebook_plotly_output,prospective_policy_2024_2030,E0,0.0,7005556.327955023,0.0
2026,projected_log_linear_2014_2023,article_notebook_recovered,101461115568538.53,107047.15874727999,883.7146134330491,7418368.101186503,recalculated_and_checked_against_embedded_notebook_plotly_output,prospective_policy_2024_2030,E10,0.1,6911970.27868558,506397.8225009227
2027,projected_log_linear_2014_2023,article_notebook_recovered,107439847459502.97,113355.05570123336,935.7886785784731,7855505.360095471,recalculated_and_checked_against_embedded_notebook_plotly_output,prospective_policy_2024_2030,E10,0.1,7319267.368836932,536237.9912585393
2028,projected_log_linear_2014_2023,article_notebook_recovered,113770884120858.88,120034.65391701688,990.9312776369392,8318401.51644927,recalculated_and_checked_against_embedded_notebook_plotly_output,prospective_policy_2024_2030,E10,0.1,7750564.984592008,567836.5318572614
2029,projected_log_linear_2014_2023,article_notebook_recovered,120474985582241.78,127107.85638845767,1049.3232280719787,8808574.447720116,recalculated_and_checked_against_embedded_notebook_plotly_output,prospective_policy_2024_2030,E10,0.1,8207277.389011302,601297.058708814
2030,projected_log_linear_2014_2023,article_notebook_recovered,127574135185790.78,134597.85677257966,1111.1560022579254,9327631.47433977,recalculated_and_checked_against_embedded_notebook_plotly_output,prospective_policy_2024_2030,E10,0.1,8690902.1824971,636729.2918426692
1986,recovered_notebook_output,article_notebook_recovered,9651643372031.74,10183.02424952232,84.06470048860253,705683.5804918967,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,657511.7152431778,48171.86524871888
1987,recovered_notebook_output,article_notebook_recovered,10887644640592.9,11487.074803925383,94.83012896954051,796054.283912029,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,741713.470613602,54340.813298427034
1988,recovered_notebook_output,article_notebook_recovered,11877430517010.5,12531.354331555029,103.45104978495382,868422.8551767635,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,809141.9679421155,59280.88723464799
1989,recovered_notebook_output,article_notebook_recovered,13093734554200.2,13814.623203816243,114.04491765265003,957353.3880244656,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,892001.8626691883,65351.52535527735
1990,recovered_notebook_output,article_notebook_recovered,13386187713888.0,14123.177664663817,116.5921509401275,978736.2121612024,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,911925.0375361576,66811.1746250448
1991,recovered_notebook_output,article_notebook_recovered,12556954846656.0,13248.290552693494,109.36962831551784,918106.535301659,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,855434.1060073691,62672.429294289905
1992,recovered_notebook_output,article_notebook_recovered,14699139753672.0,15508.415591950165,128.02781176242613,1074733.2005221464,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,1001369.0124567396,73364.18806540687
1993,recovered_notebook_output,article_notebook_recovered,16362541398060.0,17263.397477271592,142.51584821774435,1196353.4451749213,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,1114687.131059131,81666.31411579042
1994,recovered_notebook_output,article_notebook_recovered,18835432269984.0,19872.435829040238,164.05444247327674,1377159.8029524884,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,1283151.1590110536,94008.6439414348
1995,recovered_notebook_output,article_notebook_recovered,21155309934264.0,22320.036678004835,184.26030933974425,1546778.541785735,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,1441191.2650737357,105587.2767119992
1996,recovered_notebook_output,article_notebook_recovered,22132620099216.0,23351.153631398432,192.77256814731993,1618234.9466559114,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,1507769.8629469508,110465.08370896056
1997,recovered_notebook_output,article_notebook_recovered,22947045236676.0,24210.41775922643,199.866117153633,1677781.9507143917,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,1563252.0278412967,114529.92287309491
1998,recovered_notebook_output,article_notebook_recovered,27675646943868.0,29199.357362009592,241.05169259634764,2023515.4651872646,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,1885384.8397733169,138130.62541394774
1999,recovered_notebook_output,article_notebook_recovered,29220586750080.0,30829.3553741924,254.50794010529305,2136474.3274315335,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,1990632.825300167,145841.5021313664
2000,recovered_notebook_output,article_notebook_recovered,31645105704748.8,33387.35864442945,275.6252205410566,2313743.9540589605,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2155801.5489129107,157942.4051460498
2001,recovered_notebook_output,article_notebook_recovered,32137464187205.2,33906.82441549597,279.91360613150005,2349742.9319938705,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2189343.1394831277,160399.7925107428
2002,recovered_notebook_output,article_notebook_recovered,34243075845797.5,36128.36262956373,298.2532408032285,2503695.530228766,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2332786.5179743925,170909.01225437364
2003,recovered_notebook_output,article_notebook_recovered,32986863787949.2,34802.98856065853,287.3117786788402,2411847.1072536362,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2247207.9161729123,164639.1910807239
2004,recovered_notebook_output,article_notebook_recovered,33270790750592.0,35102.54740615659,289.78474977352136,2432606.5352466516,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2266550.2495989506,166056.285647701
2005,recovered_notebook_output,article_notebook_recovered,34573133325288.6,36476.59175364569,301.1280033786718,2527827.808527646,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2355271.461843941,172556.34668370523
2006,recovered_notebook_output,article_notebook_recovered,36109728104389.1,38097.78529490435,314.51156666404444,2640176.5209368714,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2459950.948009767,180225.5729271043
2007,recovered_notebook_output,article_notebook_recovered,37930692876306.2,40019.005103304116,330.37195978581013,2773317.0536589753,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2584002.948734341,189314.1049246341
2008,recovered_notebook_output,article_notebook_recovered,37064845780359.3,39105.48792964275,322.83053145241104,2710010.3135242425,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2525017.6974926624,184992.61603158014
2009,recovered_notebook_output,article_notebook_recovered,41080028245631.4,43341.73028072288,357.802307588306,3003581.9084540955,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2798549.3032506616,205032.6052034339
2010,recovered_notebook_output,article_notebook_recovered,40284571938600.0,42502.479331251554,350.87397490704075,2945421.8176557324,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2744359.377175189,201062.4404805433
2011,recovered_notebook_output,article_notebook_recovered,39214240810800.0,41373.220052879406,341.5515142426872,2867164.1496645426,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2671443.7887524697,195720.36091207294
2012,recovered_notebook_output,article_notebook_recovered,39683190927600.0,41867.988687309946,345.63601566833285,2901451.616030579,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2703390.700151429,198060.91587914992
2013,recovered_notebook_output,article_notebook_recovered,41962692915000.0,44272.99093612823,365.4902150463623,3068118.2718736865,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,2858680.2403740594,209438.03149962705
2014,recovered_notebook_output,article_notebook_recovered,46113906973200.0,48652.75423551649,401.646810665912,3371635.8685212927,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,3141478.906936695,230156.96158459783
2015,recovered_notebook_output,article_notebook_recovered,55731307018200.0,58799.64985739402,485.41325572591086,4074815.735117405,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,3796657.818550025,278157.9165673801
2016,recovered_notebook_output,article_notebook_recovered,60922907463000.0,64277.07905628293,530.6314967679787,4454401.578600407,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,4150332.10817508,304069.47042532684
2017,recovered_notebook_output,article_notebook_recovered,63906221365800.0,67424.64228931548,556.6158167470096,4672527.710649563,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,4353568.361912243,318959.34873731993
2018,recovered_notebook_output,article_notebook_recovered,66943789393800.0,70629.44666266505,583.0726838985174,4894620.653722688,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,4560500.641449803,334120.01227288507
2019,recovered_notebook_output,article_notebook_recovered,63906222151125.7,67424.64311787808,556.6158235871059,4672527.768068951,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,4353568.415412028,318959.3526569223
2020,recovered_notebook_output,article_notebook_recovered,68729703683738.1,72513.68624974998,598.627791365191,5025198.457107673,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,4682164.851656455,343033.6054512188
2021,recovered_notebook_output,article_notebook_recovered,80349320784116.7,84773.03298920703,699.8333160291165,5874771.186152047,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,5473743.453936556,401027.7322154902
2022,recovered_notebook_output,article_notebook_recovered,79020967608000.0,83371.54600062604,688.2635130858248,5777648.137843384,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,5383250.286958572,394397.85088481195
2023,recovered_notebook_output,article_notebook_recovered,84467125187090.3,89117.54723139074,735.6989174053259,6175846.023135378,recovered_from_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,5754266.110200547,421579.91293483134
2024,projected_log_linear_2014_2023,article_notebook_recovered,90483237886036.36,95464.88303108996,788.0985650765303,6615716.394054534,recalculated_and_checked_against_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,6164109.742761908,451606.6512926258
2025,projected_log_linear_2014_2023,article_notebook_recovered,95815083656857.92,101090.27890266989,834.5383267314602,7005556.327955023,recalculated_and_checked_against_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,6527338.150925418,478218.177029605
2026,projected_log_linear_2014_2023,article_notebook_recovered,101461115568538.53,107047.15874727999,883.7146134330491,7418368.101186503,recalculated_and_checked_against_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,6911970.27868558,506397.8225009227
2027,projected_log_linear_2014_2023,article_notebook_recovered,107439847459502.97,113355.05570123336,935.7886785784731,7855505.360095471,recalculated_and_checked_against_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,7319267.368836932,536237.9912585393
2028,projected_log_linear_2014_2023,article_notebook_recovered,113770884120858.88,120034.65391701688,990.9312776369392,8318401.51644927,recalculated_and_checked_against_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,7750564.984592008,567836.5318572614
2029,projected_log_linear_2014_2023,article_notebook_recovered,120474985582241.78,127107.85638845767,1049.3232280719787,8808574.447720116,recalculated_and_checked_against_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,8207277.389011302,601297.058708814
2030,projected_log_linear_2014_2023,article_notebook_recovered,127574135185790.78,134597.85677257966,1111.1560022579254,9327631.47433977,recalculated_and_checked_against_embedded_notebook_plotly_output,integrated_figure_1986_2030,E10,0.1,8690902.1824971,636729.2918426692
